timestamp,source,client_ip,method,path,status,bytes_sent,referer,user_agent,level,latency_ms,user,msg,hostname,verdict,src_ip,dst_ip,proto,spt,dpt,raw_line,parse_ok,parse_error
2026-01-07 16:07:48+00:00,nginx,49.202.24.19,GET,/,200.0,612.0,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,,,"49.202.24.19 - - [07/Jan/2026:16:07:48 +0000] ""GET / HTTP/1.1"" 200 612 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""",True,
2026-01-07 16:07:52+00:00,nginx,221.48.187.150,GET,/login,200.0,845.0,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),,,,,,,,,,,,"221.48.187.150 - - [07/Jan/2026:16:07:52 +0000] ""GET /login HTTP/1.1"" 200 845 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""",True,
2026-01-07 16:07:56+00:00,nginx,25.109.19.23,GET,/api/v1/items,200.0,1345.0,-,Mozilla/5.0 (X11; Linux x86_64),,,,,,,,,,,,"25.109.19.23 - - [07/Jan/2026:16:07:56 +0000] ""GET /api/v1/items HTTP/1.1"" 200 1345 ""-"" ""Mozilla/5.0 (X11; Linux x86_64)""",True,
2026-01-07 16:08:00+00:00,nginx,122.214.35.62,GET,/static/app.js,200.0,10234.0,-,curl/8.4.0,,,,,,,,,,,,"122.214.35.62 - - [07/Jan/2026:16:08:00 +0000] ""GET /static/app.js HTTP/1.1"" 200 10234 ""-"" ""curl/8.4.0""",True,
2026-01-07 16:08:01+00:00,nginx,34.217.30.212,GET,/favicon.ico,404.0,234.0,-,PostmanRuntime/7.36.1,,,,,,,,,,,,"34.217.30.212 - - [07/Jan/2026:16:08:01 +0000] ""GET /favicon.ico HTTP/1.1"" 404 234 ""-"" ""PostmanRuntime/7.36.1""",True,
2026-01-07 16:08:02+00:00,nginx,155.63.114.162,GET,/search?q=test,200.0,567.0,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,,,"155.63.114.162 - - [07/Jan/2026:16:08:02 +0000] ""GET /search?q=test HTTP/1.1"" 200 567 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""",True,
2026-01-07 16:07:49+00:00,nginx,49.202.24.19,GET,/health,200.0,12.0,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),,,,,,,,,,,,"49.202.24.19 - - [07/Jan/2026:16:07:49 +0000] ""GET /health HTTP/1.1"" 200 12 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)""",True,
2026-01-07 16:07:53+00:00,nginx,221.48.187.150,GET,/login,401.0,345.0,-,Mozilla/5.0 (X11; Linux x86_64),,,,,,,,,,,,"221.48.187.150 - - [07/Jan/2026:16:07:53 +0000] ""GET /login HTTP/1.1"" 401 345 ""-"" ""Mozilla/5.0 (X11; Linux x86_64)""",True,
2026-01-07 16:07:57+00:00,nginx,25.109.19.23,GET,/api/v1/items,500.0,0.0,-,curl/8.4.0,,,,,,,,,,,,"25.109.19.23 - - [07/Jan/2026:16:07:57 +0000] ""GET /api/v1/items HTTP/1.1"" 500 0 ""-"" ""curl/8.4.0""",True,
2026-01-07 16:08:01+00:00,nginx,122.214.35.62,GET,/static/app.js,301.0,0.0,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64),,,,,,,,,,,,"122.214.35.62 - - [07/Jan/2026:16:08:01 +0000] ""GET /static/app.js HTTP/1.1"" 301 0 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64)""",True,
